name,year_start,year_end,position,height,weight,birth_date,college,id,Player,collage,born,birth_city,birth_state
Greg Anthony,1992,2002,G,183,79,November 15, 1967,University of Nevada, Las Vegas,2122,Greg Anthony,University of Nevada, Las Vegas,1967,Las Vegas,Nevada
Joel Anthony,2008,2017,C,206,111,August 9, 1982,University of Nevada, Las Vegas,3208,Joel Anthony,University of Nevada, Las Vegas,1982,Montreal,Canada
Pero Antic,2014,2015,C-F,211,117,July 29, 1982,,3609,Pero Antic,,1982,Skopje,FYR Macedonia
OG Anunoby,2018,2018,F,6-8,232,July 17, 1997,Indiana University
Keith Appling,2016,2016,G,185,83,February 13, 1992,Michigan State University,3764,Keith Appling,Michigan State University,1992,Detroit,Michigan
Rafael Araujo,2005,2007,C,211,127,August 12, 1980,Brigham Young University,2975,Rafael Araujo,Brigham Young University,1980,Curitiba,Brazil
Stacey Arceneaux,1962,1962,F,193,95,February 17, 1936,Iowa State University,529,Stacey Arceneaux,Iowa State University,1936,,
Robert Archibald,2003,2004,F,211,113,March 29, 1980,University of Illinois at Urbana-Champaign,2845,Robert Archibald,University of Illinois at Urbana-Champaign,1980,Paisley,United Kingdom
Tiny Archibald,1971,1984,G,6-1,150,September 2, 1948,University of Texas at El Paso
Ryan Arcidiacono,2018,2018,G,6-3,188,March 26, 1994,Villanova University
Jim Ard,1971,1978,F-C,203,97,September 19, 1948,University of Cincinnati,1020,Jim Ard,University of Cincinnati,1948,Harvey,Illinois
Gilbert Arenas,2002,2012,G,190,86,January 6, 1982,University of Arizona,2778,Gilbert Arenas,University of Arizona,1982,Los Angeles,California
Trevor Ariza,2005,2018,F,203,97,June 30, 1985,University of California, Los Angeles,2976,Trevor Ariza,University of California, Los Angeles,1985,Miami,Florida
Paul Arizin,1951,1962,F-G,6-4,190,April 9, 1928,Villanova University
Joe Arlauckas,1988,1988,F,206,104,July 20, 1965,Niagara University,1834,Joe Arlauckas,Niagara University,1965,Rochester,New York
B.J. Armstrong,1990,2000,G,201,102,September 9, 1967,University of Iowa,1969,B.J. Armstrong,,1967,,
Bob Armstrong,1957,1957,C-F,203,99,June 17, 1933,Michigan State University,419,Bob Armstrong,Michigan State University,1933,Detroit,Michigan
Brandon Armstrong,2002,2004,G,196,85,June 16, 1980,Pepperdine University,2779,Brandon Armstrong,Pepperdine University,1980,San Francisco,California
Curly Armstrong,1949,1951,G-F,180,77,November 1, 1918,Indiana University,0,Curly Armstrong,Indiana University,1918,,
Darrell Armstrong,1995,2008,G,183,77,June 22, 1968,Fayetteville State University,2318,Darrell Armstrong,Fayetteville State University,1968,Gastonia,North Carolina
Hilton Armstrong,2007,2014,F-C,211,106,November 11, 1984,University of Connecticut,3130,Hilton Armstrong,University of Connecticut,1984,Peekskill,New York
Tate Armstrong,1978,1979,G,190,79,October 5, 1955,Duke University,1230,Tate Armstrong,Duke University,1955,Moultrie,Georgia
Jesse Arnelle,1956,1956,F,196,99,December 30, 1933,Pennsylvania State University,389,Jesse Arnelle,Pennsylvania State University,1933,New Rochelle,New York
Jay Arnette,1964,1966,G,188,79,December 19, 1938,University of Texas at Austin,600,Jay Arnette,University of Texas at Austin,1938,Austin,Texas
Bob Arnzen,1970,1974,F,196,92,November 3, 1947,University of Notre Dame,824,Bob Arnzen,University of Notre Dame,1947,Covington,Kentucky
Carlos Arroyo,2002,2011,G,188,91,July 30, 1979,Florida International University,2780,Carlos Arroyo,Florida International University,1979,Fajardo,Puerto Rico
Darrell Arthur,2009,2018,F,206,106,March 25, 1988,University of Kansas,3270,Darrell Arthur,University of Kansas,1988,Dallas,Texas
John Arthurs,1970,1970,G,193,83,August 15, 1947,Tulane University,792,John Arthurs,Tulane University,1947,,
Jamel Artis,2018,2018,G-F,6-7,213,January 12, 1993,University of Pittsburgh
Omer Asik,2011,2018,C,213,115,July 4, 1986,,3390,Omer Asik,,1986,Bursa,Turkey
Vincent Askew,1988,1998,G-F,198,95,February 28, 1966,University of Memphis,1835,Vincent Askew,University of Memphis,1966,Memphis,Tennessee
Keith Askins,1991,1999,G-F,201,89,December 15, 1967,University of Alabama,2049,Keith Askins,University of Alabama,1967,Athens,Alabama
Don Asmonga,1954,1954,G,188,83,February 15, 1928,Alliance College,320,Don Asmonga,Alliance College,1928,West Mifflin,Pennsylvania
Dick Atha,1956,1958,G,188,86,September 21, 1931,Indiana State University,390,Dick Atha,Indiana State University,1931,Otterbein,Indiana
Chucky Atkins,2000,2010,G,180,72,August 14, 1974,University of South Florida,2649,Chucky Atkins,University of South Florida,1974,Orlando,Florida
Al Attles,1961,1971,G,183,79,November 7, 1936,North Carolina Agricultural and Technical State University,509,Al Attles,North Carolina Agricultural and Technical State University,1936,Newark,New Jersey
Chet Aubuchon,1947,1947,G,5-10,137,May 18, 1916,Michigan State University
Stacey Augmon,1992,2006,F-G,203,92,August 1, 1968,University of Nevada, Las Vegas,2123,Stacey Augmon,University of Nevada, Las Vegas,1968,Pasadena,California
D.J. Augustin,2009,2018,G,206,106,November 10, 1987,University of Texas at Austin,3271,D.J. Augustin,,1988,,
James Augustine,2007,2008,F,208,106,February 27, 1984,University of Illinois at Urbana-Champaign,3131,James Augustine,University of Illinois at Urbana-Champaign,1984,Midlothian,Illinois
Isaac Austin,1992,2002,C,208,115,August 18, 1969,Arizona State University,2124,Isaac Austin,Arizona State University,1969,Gridley,California
Johnny Austin,1967,1968,G,183,77,August 31, 1944,Boston College,672,Johnny Austin,Boston College,1944,Washington,District of Columbia
Ken Austin,1984,1984,F,206,92,July 15, 1961,Rice University,1593,Ken Austin,Rice University,1961,Los Angeles,California
Anthony Avent,1993,2000,F,206,106,October 18, 1969,Seton Hall University,2181,Anthony Avent,Seton Hall University,1969,Rocky Mount,North Carolina
Bird Averitt,1974,1978,G,185,77,July 22, 1952,Pepperdine University,1122,Bird Averitt,Pepperdine University,1952,Hopkinsville,Kentucky
William Avery,2000,2002,G,188,89,August 8, 1979,Duke University,2650,William Avery,Duke University,1979,Augusta,Georgia
Dennis Awtrey,1971,1982,C,208,106,February 22, 1948,Santa Clara University,825,Dennis Awtrey,Santa Clara University,1948,Hollywood,California
Gustavo Ayon,2012,2014,C,208,113,April 1, 1985,,3453,Gustavo Ayon,,1985,Tepic,Mexico
Jeff Ayres,2010,2016,F,188,83,April 29, 1987,Arizona State University,3331,Jeff Ayres,,1945,,
Kelenna Azubuike,2007,2012,G,196,99,December 16, 1983,University of Kentucky,3132,Kelenna Azubuike,University of Kentucky,1983,London,United Kingdom
Chris Babb,2014,2014,G,196,102,February 14, 1990,Iowa State University,3610,Chris Babb,Iowa State University,1990,Arlington,Texas
Luke Babbitt,2011,2018,F,206,102,June 20, 1989,University of Nevada, Reno,3391,Luke Babbitt,University of Nevada, Reno,1989,Cincinnati,Ohio
Milos Babic,1991,1992,C-F,213,108,November 23, 1968,Tennessee Technological University,2050,Milos Babic,Tennessee Technological University,1968,Kraljevo,Serbia
Johnny Bach,1949,1949,F-G,6-2,180,July 10, 1924,Fordham University
Dwayne Bacon,2018,2018,G,6-6,222,August 30, 1995,Florida State University
Henry Bacon,1973,1973,G,6-3,205,July 5, 1948,University of Louisville
Jim Baechtold,1953,1957,F-G,193,92,December 9, 1927,Eastern Kentucky University,285,Jim Baechtold,Eastern Kentucky University,1927,McKeesport,Pennsylvania
Dalibor Bagaric,2001,2003,C,216,115,February 7, 1980,,2709,Dalibor Bagaric,,1980,Croatia,
John Bagley,1983,1994,G,183,83,April 23, 1960,Boston College,1534,John Bagley,Boston College,1960,Bridgeport,Connecticut
Carl Bailey,1982,1982,C,213,95,April 23, 1958,Tuskegee University,1470,Carl Bailey,Tuskegee University,1958,Birmingham,Alabama
Gus Bailey,1975,1980,G-F,196,83,February 18, 1951,University of Texas at El Paso,1021,Gus Bailey,University of Texas at El Paso,1951,Gibson,North Carolina
James Bailey,1980,1988,F-C,206,99,May 21, 1957,Rutgers University,1339,James Bailey,Rutgers University,1957,Dublin,Georgia
Thurl Bailey,1984,1999,F-C,211,97,April 7, 1961,North Carolina State University,1594,Thurl Bailey,North Carolina State University,1961,Washington,District of Columbia
Toby Bailey,1999,2000,G,198,96,November 19, 1975,University of California, Los Angeles,2583,Toby Bailey,University of California, Los Angeles,1975,Los Angeles,California
Cameron Bairstow,2015,2016,F-C,206,113,December 7, 1990,University of New Mexico,3684,Cameron Bairstow,University of New Mexico,1990,Brisbane,Australia
Jimmie Baker,1976,1976,F,6-9,220,December 25, 1953,University of Hawaii
LaMark Baker,1999,1999,G,185,79,November 11, 1969,Ohio State University,2584,LaMark Baker,Ohio State University,1969,Dayton,Ohio
Maurice Baker,2005,2005,G,185,79,July 28, 1979,Oklahoma State University,2977,Maurice Baker,Oklahoma State University,1979,Granite City,Illinois
Norm Baker,1947,1947,G,6-0,180,February 17, 1923,
Ron Baker,2017,2018,G,193,99,March 30, 1993,Wichita State University,3834,Ron Baker,Wichita State University,1993,Hays,Kansas
Vin Baker,1994,2006,F,211,105,November 23, 1971,University of Hartford,2246,Vin Baker,University of Hartford,1971,Lake Wales,Florida
Wade Baldwin,2017,2017,G,193,91,March 29, 1996,Vanderbilt University,3835,Wade Baldwin,Vanderbilt University,1996,Belle Mead,New Jersey
Renaldo Balkman,2007,2012,F,203,94,July 14, 1984,University of South Carolina,3133,Renaldo Balkman,University of South Carolina,1984,Staten Island,New York
Cedric Ball,1991,1991,F,203,95,April 16, 1968,University of North Carolina at Charlotte,2051,Cedric Ball,University of North Carolina at Charlotte,1968,Worcester,Massachusetts
Lonzo Ball,2018,2018,G,6-6,190,October 27, 1997,University of California, Los Angeles
Greg Ballard,1978,1989,F,201,97,January 29, 1955,University of Oregon,1231,Greg Ballard,University of Oregon,1955,Los Angeles,California
Herschel Baltimore,1947,1947,F,6-4,195,June 21, 1921,Pennsylvania State University
Gene Banks,1982,1987,F-G,201,97,May 15, 1959,Duke University,1471,Gene Banks,Duke University,1959,Philadelphia,Pennsylvania
Marcus Banks,2004,2011,G,188,90,November 19, 1981,University of Nevada, Las Vegas,2908,Marcus Banks,University of Nevada, Las Vegas,1981,Las Vegas,Nevada
Walker Banks,1971,1971,C,6-10,205,August 26, 1947,Western Kentucky University
Ken Bannister,1985,1991,F-C,206,106,April 1, 1960,Saint Augustine's College,1650,Ken Bannister,Saint Augustine's College,1960,Baltimore,Maryland
Mike Bantom,1974,1982,F-C,206,90,December 3, 1951,Saint Joseph's University,977,Mike Bantom,Saint Joseph's University,1951,Philadelphia,Pennsylvania
John Barber,1957,1957,F,198,95,June 27, 1927,California State University, Los Angeles,420,John Barber,California State University, Los Angeles,1927,,
Leandro Barbosa,2004,2017,G,190,87,November 28, 1982,,2909,Leandro Barbosa,,1982,San Paulo,Brazil
Steve Bardo,1992,1996,G,196,86,April 5, 1968,University of Illinois at Urbana-Champaign,2125,Steve Bardo,University of Illinois at Urbana-Champaign,1968,Henderson,Kentucky
J.J. Barea,2007,2018,G,203,94,June 26, 1984,Northeastern University,3134,J.J. Barea,,1984,,
Andrea Bargnani,2007,2016,F-C,213,111,October 26, 1985,,3135,Andrea Bargnani,,1985,Rome,Italy
Cliff Barker,1950,1952,G,188,83,January 15, 1921,University of Kentucky,1,Cliff Barker,University of Kentucky,1921,Yorktown,Indiana
Tom Barker,1977,1979,C-F,211,102,March 11, 1955,University of Hawaii,1123,Tom Barker,University of Hawaii,1955,Harlingen,Texas
Charles Barkley,1985,2000,F,6-6,252,February 20, 1963,Auburn University
Erick Barkley,2001,2002,G,185,80,February 21, 1978,St. John's University,2710,Erick Barkley,St. John's University,1978,Queens,New York
Don Barksdale,1952,1955,F-C,6-6,200,March 31, 1923,University of California, Los Angeles
Harrison Barnes,2013,2018,F,190,92,May 30, 1992,University of North Carolina,3533,Harrison Barnes,Northeastern University,1945,,
Harry Barnes,1969,1969,F,190,92,July 25, 1945,Northeastern University,749,Harry Barnes,Northeastern University,1945,,
Jim Barnes,1965,1971,C-F,203,95,April 13, 1941,University of Texas at El Paso,623,Jim Barnes,University of Texas at El Paso,1941,Tuckerman,Arkansas
Marvin Barnes,1975,1980,F-C,203,95,July 27, 1952,Providence College,1124,Marvin Barnes,Providence College,1952,Providence,Rhode Island
Matt Barnes,2004,2017,F,203,95,March 9, 1980,University of California, Los Angeles,2910,Matt Barnes,Providence College,1952,Providence,Rhode Island
Dick Barnett,1960,1974,G-F,193,86,October 2, 1936,Tennessee State University,492,Dick Barnett,Tennessee State University,1936,Gary,Indiana
Jim Barnett,1967,1977,G-F,203,95,July 7, 1944,University of Oregon,673,Jim Barnett,University of Texas at El Paso,1941,Tuckerman,Arkansas
Nathaniel Barnett,1976,1976,G,6-3,175,January 29, 1953,University of Akron
John Barnhill,1963,1972,G,185,81,March 20, 1938,Tennessee State University,564,John Barnhill,Tennessee State University,1938,Sturgis,Kentucky
Norton Barnhill,1977,1977,G,193,92,July 15, 1953,Washington State University,1125,Norton Barnhill,Washington State University,1953,Winston-Salem,North Carolina
Leo Barnhorst,1950,1954,F-G,193,86,May 11, 1924,University of Notre Dame,2,Leo Barnhorst,University of Notre Dame,1924,,
John Barr,1947,1947,F,6-3,205,August 8, 1918,Pennsylvania State University
Mike Barr,1973,1977,G,190,81,October 19, 1950,Duquesne University,1126,Mike Barr,Duquesne University,1950,Canton,Ohio
Moe Barr,1971,1971,G,193,88,June 19, 1944,Duquesne University,826,Moe Barr,Duquesne University,1944,,
Andre Barrett,2005,2008,G,178,78,February 21, 1982,Seton Hall University,2978,Andre Barrett,Seton Hall University,1982,Bronx,New York
Ernie Barrett,1954,1956,G-F,190,81,August 27, 1929,Kansas State University,321,Ernie Barrett,Kansas State University,1929,Pratt,Kansas
Mike Barrett,1970,1973,G,6-2,155,September 5, 1943,West Virginia University Institute of Technology
